unique_id,mean,std,cv,zero_pct,trend,ramp_up,second_half_mean,train_start,active_weeks,bucket,history_length,recent_mean,recent_zero_pct
CA-SC-10-F-264-BKWH-STI,0.0990990990990991,0.32756142275131245,3.3053925386723346,0.9099099099099099,0.0034924534924534924,False,0.19642857142857142,2024-06-24,110,intermittent,full,0.15384615384615385,0.8461538461538461
CA-SC-10-F-264-BR-1TO,0.02702702702702703,0.1621621621621622,6.000000000000001,0.972972972972973,0.0008073008073008074,False,0.05357142857142857,2024-06-24,110,intermittent,full,0.0,1.0
CA-SC-10-F-264-DB-1TO,0.05405405405405406,0.2261243314956961,4.183300132670378,0.9459459459459459,0.0014127764127764126,False,0.10714285714285714,2024-06-24,110,intermittent,full,0.07692307692307693,0.9230769230769231
CA-SC-10-F-264-DG-1TO,0.2972972972972973,0.652018274692693,2.1931523785117855,0.7837837837837838,0.009266409266409268,False,0.5892857142857143,2024-06-24,110,intermittent,full,0.6153846153846154,0.5384615384615384
CA-SC-10-F-264-GR-1TO,0.5045045045045045,0.8151037503616232,1.615652076609646,0.6576576576576577,0.013645138645138645,False,0.9821428571428571,2024-06-24,110,intermittent,full,1.1538461538461537,0.3076923076923077
CA-SC-10-F-264-PK-1TO,0.036036036036036036,0.18637982761781263,5.172040216394301,0.963963963963964,0.0005089505089505089,False,0.07142857142857142,2024-06-24,110,intermittent,full,0.0,1.0
CA-SC-10-F-264-RD-1TO,0.018018018018018018,0.13301642396606667,7.3824115301167,0.9819819819819819,0.00035100035100035104,False,0.03571428571428571,2024-06-24,110,intermittent,full,0.0,1.0
CA-SC-10-F-264-WH-1TO,0.036036036036036036,0.18637982761781263,5.172040216394301,0.963963963963964,0.0007020007020007019,False,0.07142857142857142,2024-06-24,110,intermittent,full,0.0,1.0
CA-SC-10-F-264-WR-1TO,0.24324324324324326,0.6182832409648105,2.5418311017442208,0.8288288288288288,0.006124956124956127,False,0.48214285714285715,2024-06-24,110,intermittent,full,0.46153846153846156,0.6153846153846154
CA-SC-10-F-265-BE-1TO,2.25,1.9402121216307966,0.8623164985025763,0.19230769230769232,0.04477930504567574,True,2.107142857142857,2025-08-11,52,smooth,medium,3.1538461538461537,0.15384615384615385
CA-SC-10-F-265-BK-1TO,3.7346938775510203,2.3885399024242235,0.639554400102661,0.061224489795918366,0.042142857142857176,True,3.2857142857142856,2025-09-01,48,smooth,short,4.153846153846154,0.07692307692307693
CA-SC-10-F-265-BKRD-STI,0.10810810810810811,0.3879108133623601,3.588175023601831,0.918918918918919,0.004273429273429274,False,0.21428571428571427,2024-06-24,110,intermittent,full,0.3076923076923077,0.6923076923076923
CA-SC-10-F-265-BKWH-STI,0.036036036036036036,0.18637982761781263,5.172040216394301,0.963963963963964,0.0012987012987012991,False,0.07142857142857142,2024-06-24,110,intermittent,full,0.15384615384615385,0.8461538461538461
CA-SC-10-F-265-BR-1TO,0.018018018018018018,0.13301642396606667,7.3824115301167,0.9819819819819819,0.0002983502983502984,False,0.03571428571428571,2024-06-24,110,intermittent,full,0.0,1.0
CA-SC-10-F-265-DB-1TO,0.06306306306306306,0.2430763524906674,3.854496446637726,0.9369369369369369,0.0021674271674271676,False,0.125,2024-06-24,110,intermittent,full,0.15384615384615385,0.8461538461538461
CA-SC-10-F-265-DG-1TO,0.45045045045045046,0.9176815551889617,2.0372530525194947,0.7297297297297297,0.014110214110214112,False,0.875,2024-06-24,110,intermittent,full,1.0,0.5384615384615384
